#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-09-11T12:47:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d78ecc14dd2	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:B/ocl&tab:{B/ocl/clusters}&key:source=B/ocl/clusters&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/ocl/clusters
#-order=I
#-out=P
#-out=Cluster
#-out=RAJ2000
#-out=DEJ2000
#-out=Class
#-out=Diam
#-out=Dist
#-out=E(B-V)
#-out=Age
#-out=pmRA
#-out=pmDE
#-out=Nc
#-out=K14
#K14=K14
#-out=RV
#-out=o_RV
#-out=[Fe/H]
#-out=o_[Fe/H]
#-out=TrType
#-out=WEBDA
#WEBDA=WEBDA
#-out=Lynga
#Lynga=Lynga
#

#RESOURCE=yCat_102022
#Name: B/ocl
#Title: Optically visible open clusters and Candidates (Dias+ 2002-2015)
#Table	B_ocl_clusters:
#Name: B/ocl/clusters
#Title: The Catalogue Data File (V3.5)
#Column	P	(A1)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	Cluster	(a17)	Cluster name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A8)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Class	(A2)	Flag for classification of the cluster (G1)	[ucd=meta.code]
#Column	Diam	(F6.1)	[0.2/1400]? Angular apparent diameter	[ucd=phys.angSize]
#Column	Dist	(I5)	[25/15000]? Distance from WEBDA [NULL integer written as an empty string]	[ucd=pos.distance;pos.heliocentric]
#Column	E(B-V)	(F6.3)	[0/6]? Colour excess in BV	[ucd=phot.color.excess]
#Column	Age	(F6.3)	[6/10.1]? Age (in log t)	[ucd=time.age]
#Column	pmRA	(F7.2)	? Mean proper motion of the cluster in RA	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	? Mean proper motion of the cluster in Dec	[ucd=pos.pm;pos.eq.dec]
#Column	Nc	(I5)	[1/14341]? Estimated number of cluster members [NULL integer written as an empty string]	[ucd=meta.number]
#Column	K14	(A3)	Details from Kharchenko et al. 2014 (J/A+A/558/A53)	[ucd=meta.ref.url]
#Column	RV	(F7.2)	? Radial Velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	o_RV	(I3)	[0/537]? Number of stars used to determine RV [NULL integer written as an empty string]	[ucd=meta.number]
#Column	[Fe/H]	(F6.3)	[-1.6/0.5]? Metallicity	[ucd=phys.abund.Z]
#Column	o_[Fe/H]	(I2)	[0/60]? Number of stars used to determine [Fe/H] [NULL integer written as an empty string]	[ucd=meta.number]
#Column	TrType	(A8)	Trumpler type determined in the DSS inspection (concentration-brightness-richness-nebulosity)	[ucd=src.class]
#Column	WEBDA	(a5)	Find out what exists about this cluster in the WEBDA data-base	[ucd=meta.ref.url]
#Column	Lynga	(a5)	VizieR added column, not part of original data	[ucd=meta.ref.url]
P	Cluster	RAJ2000	DEJ2000	Class	Diam	Dist	E(B-V)	Age	pmRA	pmDE	Nc	K14	RV	o_RV	[Fe/H]	o_[Fe/H]	TrType	WEBDA	Lynga
 	NGC 3446         	10 52 12	-45 08 54	  	  15.0	 1485	 0.160	 9.000	  -8.26	   2.23	  226	K14	       	   	      	  	3-3-p-* 	WEBDA	Lynga
 	BH 106           	10 52 42	-54 14 00	  	   3.0	 1879	 0.406	 8.000	  -6.88	   0.74	   55	K14	       	   	      	  	2-2-p-* 	WEBDA	Lynga
 	Teutsch 31       	10 52 50	-59 27 39	  	   1.8	 3250	 1.090	 8.780	  -8.28	  -0.65	   49	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 162     	10 52 54	-62 19 00	  	   5.0	 3019	 0.312	 8.385	  -1.70	  -0.20	  203	K14	  -0.30	  1	      	  	2-1-p-* 	WEBDA	Lynga
 	ESO 128 16       	10 53 41	-58 14 24	nf	  10.0	  900	 0.030	 8.920	  -1.20	  -0.30	  379	K14	   2.84	  2	      	  	        	WEBDA	Lynga
 	Ruprecht 92      	10 53 47	-61 45 00	  	   7.0	 2211	 0.396	 7.650	  -2.44	  -2.06	  476	K14	 -15.60	  1	 0.201	 1	        	WEBDA	Lynga
 	Kronberger 39    	10 54 14	-61 44 16	  	   0.8	11100	 0.900	      	  -3.91	   6.07	    7	K14	       	   	      	  	        	WEBDA	Lynga
 	ASCC 63          	10 55 52	-60 24 36	  	  18.0	 3500	 0.450	 7.240	  -2.72	  -1.43	 1691	K14	-142.00	  2	      	  	        	WEBDA	Lynga
P	Trumpler 17      	10 56 24	-59 12 00	  	   5.0	 2189	 0.605	 7.706	 -69.59	   2.88	    1	K14	  30.93	  2	      	  	        	WEBDA	Lynga
 	Graham 1         	10 56 32	-63 01 04	e 	   2.0	 3600	      	      	  -6.99	   4.89	   62	K14	       	   	      	  	4-1-vp-*	WEBDA	Lynga
 	Collinder 236    	10 56 51	-61 07 00	  	  10.0	  800	 0.070	 8.370	  -2.23	  -2.31	  789	K14	  18.32	  3	 0.042	 1	4-1-m-* 	WEBDA	Lynga
P	Bochum 12        	10 57 24	-61 43 00	  	  10.0	 2218	 0.240	 7.610	  -2.49	  -3.08	  735	K14	  -3.80	  1	      	  	        	WEBDA	Lynga
P	Hogg 9           	10 58 22	-59 03 00	  	   1.0	 3049	 0.380	 7.450	   0.12	  -0.97	   28	K14	       	   	      	  	2-1-vp-*	WEBDA	Lynga
 	Majaess 133      	10 58 43	-61 11 15	IR	   4.0	     	      	      	  -2.15	  -2.27	  169	K14	       	   	      	  	        	WEBDA	Lynga
 	Turner 6         	10 59 01	-59 29 58	  	   1.3	 3250	 1.320	 7.900	   0.72	   1.76	   39	K14	       	   	      	  	        	WEBDA	Lynga
 	Teutsch 106      	10 59 25	-59 32 49	  	   3.2	 6660	 1.020	 8.780	  -2.29	   0.56	  125	K14	       	   	      	  	        	WEBDA	Lynga
 	Majaess 135      	10 59 35	-59 00 02	IR	   4.0	     	      	      	  -3.77	  -0.21	  136	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 3496         	10 59 36	-60 20 12	  	   8.0	  990	 0.469	 8.471	  -3.61	  -1.14	  503	K14	 -51.40	  1	      	  	        	WEBDA	Lynga
 	ESO 265 01       	11 00 58	-45 21 00	d 	   4.0	 3162	 0.000	 9.350	  -7.31	  -0.51	   32	K14	       	   	      	  	        	WEBDA	Lynga
 	Sher 1           	11 01 04	-60 14 00	  	   1.0	 5875	 1.374	 6.713	  -8.19	   1.93	   24	K14	       	   	      	  	        	WEBDA	Lynga
P	Pismis 17        	11 01 06	-59 49 00	  	   6.0	 3504	 0.471	 7.023	  -3.89	   0.59	  201	K14	  65.10	  1	-0.145	 5	        	WEBDA	Lynga
 	ASCC 64          	11 03 04	-60 55 12	  	  21.6	 1500	 0.150	 7.920	  -2.94	  -3.58	 2532	K14	   1.15	  3	      	  	        	WEBDA	Lynga
 	Ruprecht 163     	11 04 51	-67 57 00	  	   2.0	 3019	 0.312	 9.365	 -12.26	   6.70	   60	K14	       	   	      	  	4-1-vp-*	WEBDA	Lynga
P	NGC 3532         	11 05 39	-58 45 12	  	  50.0	  492	 0.028	 8.477	 -10.95	   4.80	  110	K14	   4.33	  8	 0.020	 3	        	WEBDA	Lynga
 	Feinstein 1      	11 05 56	-59 49 00	  	  25.0	 1159	 0.400	 7.000	  -3.55	  -1.79	 2320	K14	   2.20	  4	      	  	        	WEBDA	Lynga
 	Loden 306        	11 06 08	-61 06 00	nf	  26.0	 2000	 0.240	 6.760	  -2.62	  -3.39	 3058	K14	 -32.06	  2	      	  	        	WEBDA	Lynga
 	BH 110           	11 07 18	-61 27 00	  	   2.0	 5593	 0.420	 9.000	  -9.28	   2.10	   31	K14	       	   	      	  	1-1-p-* 	WEBDA	Lynga
 	ESO 502 19       	11 08 07	-26 43 48	p 	   3.0	 1338	 0.208	 9.210	 -12.16	   2.48	    9	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
 	Teutsch 143a     	11 08 41	-60 42 48	  	   1.0	 5483	 0.460	 8.850	  -2.35	  -2.09	   30	K14	       	   	      	  	        	WEBDA	Lynga
 	BH 111           	11 09 08	-63 50 00	  	   2.0	 2700	 0.250	 8.350	  -8.75	   0.77	    5	K14	       	   	      	  	2-2-p-* 	WEBDA	Lynga
 	Loden 280        	11 09 42	-59 06 00	nf	   4.0	 5246	 0.625	 8.910	  -4.75	  -2.69	  117	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 3572         	11 10 23	-60 14 54	  	   5.0	 1995	 0.389	 6.891	  -4.37	  -0.96	  222	K14	  -4.00	  1	      	  	        	WEBDA	Lynga
 	Basel 17         	11 10 34	-59 02 00	  	  10.0	 1636	 0.160	      	  -4.36	  -3.14	  498	K14	       	   	      	  	4-2-vp- 	WEBDA	Lynga
P	Hogg 10          	11 10 42	-60 24 00	  	   3.0	 1776	 0.460	 6.784	  -4.55	  -1.01	   86	K14	   1.00	  1	      	  	        	WEBDA	Lynga
 	Loden 309        	11 10 43	-60 23 00	  	   1.5	  600	 0.250	 8.630	  -5.70	   0.47	   39	K14	   1.00	  1	      	  	2-2-vp  	WEBDA	Lynga
 	ASCC 65          	11 11 06	-61 07 12	  	  26.4	 3500	 0.400	 7.090	  -3.48	  -2.27	 2902	K14	 -14.39	  7	      	  	        	WEBDA	Lynga
P	Trumpler 18      	11 11 28	-60 40 00	  	   5.0	 1358	 0.315	 7.194	  -4.07	  -0.88	  236	K14	 -20.00	  1	      	  	        	WEBDA	Lynga
P	Hogg 11          	11 11 37	-60 24 00	  	   2.0	 2270	 0.320	 7.080	  -0.65	   6.58	    5	K14	       	   	      	  	        	WEBDA	Lynga
 	Collinder 240    	11 11 40	-60 18 35	  	  32.0	 1577	 0.310	 7.160	  -4.33	  -1.82	 3575	K14	  -8.02	  5	      	  	        	WEBDA	Lynga
 	ESO 570 12       	11 12 07	-21 21 00	cr	   8.0	  640	 0.030	 8.900	  -4.93	  -3.00	   17	K14	   7.80	  1	      	  	3-3-p-* 	WEBDA	Lynga
P	NGC 3590         	11 12 59	-60 47 18	  	   3.0	 1651	 0.449	 7.231	  -3.30	  -1.28	  117	K14	  -7.33	  3	      	  	        	WEBDA	Lynga
P	Hogg 12          	11 13 01	-60 47 00	  	   4.0	 2000	 0.400	 7.480	  -3.43	  -1.84	  154	K14	       	   	      	  	3-2-p-* 	WEBDA	Lynga
P	Stock 13         	11 13 05	-58 53 00	  	   5.0	 1577	 0.218	 7.222	  -5.49	  -2.72	  157	K14	   1.00	  1	      	  	        	WEBDA	Lynga
 	ASCC 66          	11 13 37	-55 25 12	  	  36.0	 1000	 0.100	 7.760	 -13.76	   3.31	   12	K14	       	   	      	  	        	WEBDA	Lynga
 	Trumpler 19      	11 14 20	-57 33 04	  	  14.0	 1900	 0.080	 9.650	  -4.49	   0.62	  874	K14	       	   	      	  	4-2-m-* 	WEBDA	Lynga
P	NGC 3603         	11 15 07	-61 15 36	  	   4.0	 6900	 1.338	 6.000	  -5.76	   0.28	   12	K14	       	   	      	  	        	WEBDA	Lynga
 	Hogg 13          	11 16 18	-60 16 00	nf	   3.0	 2208	 0.250	 8.650	  -4.69	  -3.60	   69	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
P	IC 2714          	11 17 27	-62 44 00	  	  14.0	 1238	 0.341	 8.542	  -3.74	   0.12	  535	K14	 -14.10	  8	 0.010	 3	        	WEBDA	Lynga
 	ESO 093 08       	11 19 41	-65 13 12	  	   1.0	14000	 0.800	 9.740	  -3.55	  -1.38	   23	K14	  86.00	  1	      	  	        	WEBDA	Lynga
P	Melotte 105      	11 19 42	-63 29 00	  	   5.0	 1715	 0.830	 8.550	  -6.30	   0.11	  202	K14	   0.40	  2	 0.080	  	        	WEBDA	Lynga
 	Loden 336        	11 20 00	-58 50 00	  	   2.0	     	      	      	       	       	     	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
 	ESO 129 19       	11 21 11	-58 13 54	d 	   5.0	 1791	 0.416	 9.000	  -3.45	  -3.57	  121	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 1586         	11 22 45	-62 19 06	IR	   5.0	 2420	 1.600	 8.650	  -2.83	  -4.71	  128	K14	       	   	      	  	        	WEBDA	Lynga
 	BH 118           	11 23 03	-58 33 00	  	   2.0	 1493	 0.270	 8.600	  -7.56	   3.45	   21	K14	       	   	      	  	2-1-p-* 	WEBDA	Lynga
P	NGC 3680         	11 25 38	-43 14 36	  	   5.0	  938	 0.066	 9.077	  -5.42	   2.29	   40	K14	   1.28	  8	-0.190	 7	        	WEBDA	Lynga
 	Ruprecht 94      	11 30 37	-63 26 00	d 	  20.0	 3400	 0.300	 7.190	  -4.19	  -2.71	  883	K14	   2.00	  1	      	  	3-2-r-* 	WEBDA	Lynga
 	Ruprecht 164     	11 30 51	-60 44 00	  	   5.0	  780	 0.110	 9.000	  -0.89	   5.03	    6	K14	       	   	      	  	4-1-m-* 	WEBDA	Lynga
 	Loden 372        	11 30 55	-58 29 00	  	   6.0	 1200	 0.400	 8.550	  -5.28	  -3.49	  186	K14	       	   	      	  	3-2-p-* 	WEBDA	Lynga
 	Loden 402        	11 32 52	-60 43 00	  	  10.0	 2450	 0.180	 8.200	  -3.23	  -3.59	  682	K14	  -3.00	  1	      	  	4-1-p-* 	WEBDA	Lynga
P	NGC 3766         	11 36 14	-61 36 30	  	   9.3	 2218	 0.200	 7.320	  -7.21	   1.33	    7	K14	 -16.66	  2	      	  	        	WEBDA	Lynga
P	IC 2944          	11 38 20	-63 22 22	  	  65.0	 1794	 0.320	 6.818	  -5.16	  -2.39	 8860	K14	  -2.41	 27	      	  	        	WEBDA	Lynga
 	ASCC 67          	11 41 31	-61 01 12	  	  24.0	 1500	 0.300	 7.670	  -1.22	  -3.76	 2667	K14	 -20.73	  2	      	  	        	WEBDA	Lynga
 	Bica 5           	11 41 34	-62 25 05	p 	   3.0	 1740	 0.000	 8.780	  -4.61	  -5.45	   78	K14	       	   	      	  	        	WEBDA	Lynga
 	Lynga 15         	11 42 24	-62 29 00	  	   8.0	 1380	 0.625	 7.400	  -4.02	  -6.47	  327	K14	  -8.20	  2	      	  	2-1-p-* 	WEBDA	Lynga
 	Ruprecht 95      	11 43 38	-61 08 00	  	   4.0	 1634	 0.416	 8.495	  -0.82	  -4.00	  175	K14	       	   	      	  	3-1-m-* 	WEBDA	Lynga
 	Loden 466        	11 43 42	-62 31 00	  	   3.5	     	      	      	  -5.42	  -6.02	  110	K14	 -12.91	  3	      	  	2-3-p-* 	WEBDA	Lynga
P	Stock 14         	11 43 48	-62 31 00	  	   6.0	 2399	 0.210	 7.300	  -5.93	   0.82	    2	K14	 -12.91	  3	      	  	        	WEBDA	Lynga
 	ESO 129 32       	11 44 09	-61 04 54	d 	   4.0	 1560	 0.416	 8.600	  -2.85	  -2.20	  127	K14	       	   	      	  	        	WEBDA	Lynga
 	Loden 467        	11 45 30	-62 26 00	nf	   4.5	 2569	 0.625	 6.600	  -6.47	  -2.34	  124	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 1595         	11 47 05	-62 38 13	IR	   2.4	 4416	 0.854	 6.350	  -3.48	  -1.28	  196	K14	       	   	      	  	        	WEBDA	Lynga
 	SAI 116          	11 49 18	-62 13 47	  	   5.0	 2200	 0.980	 8.600	  -6.58	  -1.14	  165	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 3909         	11 49 49	-48 15 06	  	  16.0	 1100	 0.130	 9.300	  -9.90	   1.45	  250	K14	       	   	      	  	3-3-p-* 	WEBDA	Lynga
 	ESO 217 08       	11 50 08	-48 14 00	  	   2.0	     	      	      	       	       	     	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 3960         	11 50 33	-55 40 24	v 	   5.0	 1850	 0.290	 9.100	  -4.75	   3.97	  188	K14	 -22.26	 10	 0.020	 6	        	WEBDA	Lynga
 	Ruprecht 96      	11 50 37	-62 08 00	  	   5.0	  860	 0.250	 9.000	  -4.42	  -0.54	  274	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
 	Loden 481        	11 51 47	-61 17 00	  	  26.0	 1520	 0.240	 8.190	  -3.15	  -0.43	 2431	K14	  -7.10	  1	      	  	4-3-p-* 	WEBDA	Lynga
 	Teutsch 77       	11 53 15	-62 36 34	  	   7.0	 1450	 0.450	 9.480	  -3.91	  -1.96	  273	K14	       	   	      	  	        	WEBDA	Lynga
 	Loden 480        	11 56 00	-58 26 00	nf	   2.5	 1200	 0.300	 8.710	  -8.55	   5.73	    6	K14	       	   	      	  	        	WEBDA	Lynga
P	Ruprecht 97      	11 57 28	-62 43 00	  	   5.0	 1357	 0.229	 8.343	  -3.89	  -1.11	  176	K14	 -14.90	  2	-0.030	 2	        	WEBDA	Lynga
P	Ruprecht 98      	11 58 40	-64 35 00	  	  14.0	  494	 0.162	 8.508	  -7.25	  -7.10	   36	K14	  -7.60	  1	      	  	        	WEBDA	Lynga
 	Feigelson 1      	11 59 51	-78 12 27	v 	  18.0	  114	 0.020	 6.602	 -39.50	  -1.00	   10	K14	  13.00	  1	      	  	        	WEBDA	Lynga
 	NGC 4052         	12 01 02	-63 13 30	  	   9.0	 1209	 0.156	 8.495	  -3.48	   0.38	  378	K14	       	   	      	  	        	WEBDA	Lynga
 	Juchert 13       	12 01 41	-64 06 00	  	   4.0	 2944	 0.730	 9.050	  -5.36	  -0.08	  164	K14	       	   	      	  	        	WEBDA	Lynga
 	Alessi Teutsch 8 	12 02 55	-60 55 30	  	  24.0	  650	 0.100	 8.650	  -4.71	  -0.11	 2288	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 99      	12 03 04	-63 51 00	  	   5.0	  660	 0.050	 9.290	  -4.69	   0.23	  137	K14	       	   	      	  	3-1-p-* 	WEBDA	Lynga
 	Ruprecht 100     	12 05 53	-62 37 00	  	   6.0	 2435	 0.560	 8.500	  -3.41	  -1.19	  265	K14	       	   	-0.200	  	4-1-m-* 	WEBDA	Lynga
 	ASCC 69          	12 06 36	-69 46 12	  	  48.0	 1000	 0.170	 7.910	  -7.52	  -0.64	   12	K14	  -0.99	  2	      	  	        	WEBDA	Lynga
P	NGC 4103         	12 06 40	-61 15 00	  	   6.0	 1632	 0.294	 7.393	  -7.30	  -0.13	    1	K14	 -12.00	  1	      	  	        	WEBDA	Lynga
 	ESO 130 06       	12 07 46	-59 18 00	d 	  10.0	 2200	 0.120	 8.330	  -7.65	  -1.56	  299	K14	  -1.00	  2	      	  	        	WEBDA	Lynga
 	FSR 1605         	12 07 52	-65 11 38	IR	   2.8	 4430	 0.833	 9.500	  -6.02	   2.40	   97	K14	       	   	      	  	        	WEBDA	Lynga
 	Loden 565        	12 08 19	-60 39 00	  	  16.0	  650	 0.200	 8.050	  -5.41	  -0.81	  698	K14	  10.10	  1	      	  	4-3-p-* 	WEBDA	Lynga
 	Ruprecht 101     	12 09 38	-62 59 00	  	  14.0	 2318	 0.520	 9.050	  -3.99	   2.34	  918	K14	       	   	      	  	4-1-r-* 	WEBDA	Lynga
 	Stock 15         	12 10 30	-59 29 00	  	  12.0	     	      	      	  -5.92	  -1.82	  537	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
 	Alessi 52        	12 13 02	-62 42 23	  	   2.2	 3325	 1.080	 9.150	       	       	     	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 102     	12 13 33	-62 43 00	  	   2.0	 1609	 0.521	 7.500	  -6.98	   0.43	  252	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
 	Saurer 4         	12 14 03	-63 35 36	  	   1.8	 6190	 1.240	 9.180	  -4.98	   0.59	   37	K14	       	   	      	  	        	WEBDA	Lynga
 	ASCC 70          	12 15 00	-64 25 48	  	  36.0	 2700	 0.350	 6.920	  -4.99	   1.20	 4173	K14	 -10.44	  2	      	  	        	WEBDA	Lynga
 	NGC 4230         	12 17 20	-55 06 06	  	  10.0	 1445	 0.230	 9.230	  -6.43	  -2.74	  230	K14	       	   	      	  	4-2-p-* 	WEBDA	Lynga
 	Loden 615        	12 20 39	-64 47 00	  	   2.5	 1000	 0.050	 8.630	  -6.80	  -2.67	    8	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
 	ASCC 71          	12 20 42	-67 31 12	  	  49.2	 1300	 0.250	 7.880	  -7.73	  -0.30	   28	K14	 -17.90	  1	      	  	        	WEBDA	Lynga
 	ESO 130 13       	12 23 18	-59 39 36	  	  10.0	 4319	 0.630	 9.100	  -3.62	  -0.90	  327	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 4337         	12 24 04	-58 07 24	  	   4.0	 2600	 0.230	 9.200	  -5.52	   2.37	  141	K14	 -17.75	  7	 0.120	 7	        	WEBDA	Lynga
P	NGC 4349         	12 24 08	-61 52 18	  	   5.0	 2176	 0.384	 8.315	  -5.77	   1.44	    1	K14	 -11.87	 10	-0.120	 3	        	WEBDA	Lynga
 	ESO 064 05       	12 24 33	-68 28 00	d 	  10.0	 1239	 0.416	 7.885	  -6.76	   4.30	  372	K14	       	   	      	  	        	WEBDA	Lynga
 	Collinder 257    	12 24 46	-60 53 12	  	   5.0	     	      	      	  -4.35	  -1.17	  146	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 104     	12 24 53	-60 26 00	  	   4.0	 2702	 0.750	 8.890	  -2.31	  -2.25	   84	K14	       	   	      	  	3-1-p-* 	WEBDA	Lynga
 	Melotte 111      	12 25 06	+26 06 00	  	 120.0	   96	 0.013	 8.652	  -6.78	  -3.41	  863	K14	   0.01	 28	 0.070	11	        	WEBDA	Lynga
 	BH 131           	12 26 14	-63 24 50	  	   5.0	 6250	 0.620	 9.100	  -5.03	   0.09	  161	K14	       	   	      	  	3-1-p-* 	WEBDA	Lynga
 	Loden 624        	12 26 22	-61 43 00	  	  38.0	 1423	 0.416	 7.600	  -0.94	  -0.63	 4914	K14	 -15.70	  1	      	  	3-2-p-* 	WEBDA	Lynga
 	BH 132           	12 27 00	-64 04 00	  	   4.0	 5229	 0.645	 9.400	  -4.45	  -0.95	   96	K14	       	   	      	  	3-1-p-* 	WEBDA	Lynga
 	Harvard 5        	12 27 16	-60 46 44	  	   5.0	 1184	 0.160	 8.032	  -2.94	  -1.94	  168	K14	  14.90	  6	 0.070	 2	        	WEBDA	Lynga
P	NGC 4439         	12 28 27	-60 06 18	  	   4.0	 1785	 0.348	 7.909	 -10.49	  -0.85	    2	K14	       	   	      	  	        	WEBDA	Lynga
 	Hogg 23          	12 28 32	-60 53 43	  	   7.0	 1250	 0.070	 8.310	  -0.68	  -2.45	  201	K14	       	   	      	  	4-3-p-* 	WEBDA	Lynga
 	Ruprecht 165     	12 28 35	-56 26 00	  	  20.0	 2082	 0.645	 9.115	 -14.37	  -2.20	  577	K14	       	   	      	  	2-3-m-* 	WEBDA	Lynga
P	Hogg 14          	12 28 36	-59 49 00	  	   3.0	  969	 0.229	 8.099	  -9.22	   1.08	    1	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 1617         	12 28 44	-66 34 52	IR	   4.3	 1828	 0.437	 8.900	  -2.49	   0.36	  141	K14	       	   	      	  	        	WEBDA	Lynga
 	ESO 131 09       	12 29 38	-57 52 36	  	   5.0	 2276	 0.850	 7.350	  -2.84	  -0.09	   69	K14	       	   	      	  	3-2-vp-*	WEBDA	Lynga
P	NGC 4463         	12 29 56	-64 47 24	  	   3.5	 1050	 0.434	 7.505	  -4.85	   0.88	    3	K14	 -12.20	  1	      	  	        	WEBDA	Lynga
 	ASCC 72          	12 33 00	-60 57 00	  	  30.0	 1100	 0.160	 8.130	  -4.99	  -0.48	   19	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 105     	12 34 14	-61 34 00	  	  12.0	  950	 0.050	 9.010	  -1.53	  -0.68	  511	K14	       	   	      	  	3-2-p-* 	WEBDA	Lynga
 	ASCC 73          	12 36 36	-67 17 24	  	  48.0	  650	 0.050	 8.190	 -11.72	  -0.88	   18	K14	 -15.80	  1	      	  	        	WEBDA	Lynga
P	Collinder 261    	12 37 57	-68 22 00	  	   9.0	 2190	 0.270	 9.950	  -0.77	  -0.55	  378	K14	 -30.00	 21	-0.030	 6	        	WEBDA	Lynga
 	Trumpler 20      	12 39 31	-60 38 00	  	  16.0	 3300	 0.460	 9.110	  -2.22	  -1.94	 1326	K14	 -40.80	  5	 0.170	13	2-2-m-* 	WEBDA	Lynga
P	NGC 4609         	12 42 18	-62 59 42	  	  13.0	 1320	 0.370	 7.700	  -9.45	  -6.52	    1	K14	 -21.30	  1	 0.050	 1	        	WEBDA	Lynga
P	Hogg 15          	12 43 37	-63 06 00	  	   7.0	 3200	 1.300	 6.600	  -7.87	   2.39	    1	K14	  55.00	  1	      	  	        	WEBDA	Lynga
 	Loden 682        	12 47 17	-60 39 00	d 	  26.0	  900	 0.200	 8.410	  -2.44	  -1.91	 1887	K14	 -31.00	  1	      	  	        	WEBDA	Lynga
 	ESO 065 03       	12 51 37	-69 43 48	p 	   6.0	 2300	 0.450	 8.750	  -2.60	  -2.72	  132	K14	 -28.50	  1	      	  	        	WEBDA	Lynga
 	Loden 694        	12 53 01	-60 46 00	d 	  23.0	 1700	 0.240	 7.380	  -2.42	  -1.28	 1588	K14	 -23.00	  1	      	  	        	WEBDA	Lynga
 	BH 140           	12 53 06	-67 10 00	  	   5.0	 3106	 1.850	 8.200	  -5.82	   1.57	  103	K14	       	   	      	  	3-1-m-* 	WEBDA	Lynga
P	NGC 4755         	12 53 39	-60 21 42	  	  10.0	 1976	 0.388	 7.216	  -4.42	  -1.53	    5	K14	 -20.00	 56	      	  	        	WEBDA	Lynga
P	NGC 4815         	12 57 59	-64 57 36	  	   5.0	 3079	 0.808	 8.369	  -2.70	  -2.41	  264	K14	       	   	-0.010	 5	        	WEBDA	Lynga
 	NGC 4852         	13 00 09	-59 36 48	  	  10.0	 1100	 0.450	 8.300	  -8.41	  -2.59	  457	K14	  -5.00	  1	      	  	1-3-r-* 	WEBDA	Lynga
 	Latham 1         	13 10 50	+30 28 36	  	  60.0	 1015	 0.208	 9.400	  -2.32	  -3.20	  207	K14	  -2.40	  7	      	  	        	WEBDA	Lynga
 	Loden 757        	13 12 24	-65 18 00	nf	  18.0	 1340	 0.666	 8.070	  -2.95	  -3.35	 1651	K14	       	   	      	  	4-2-p-* 	WEBDA	Lynga
 	Danks 1          	13 12 27	-62 41 38	  	   1.5	 3600	 2.680	 6.480	 -28.00	 -16.00	    9	K14	 -42.00	  9	      	  	1-1-p-* 	WEBDA	Lynga
 	Danks 2          	13 12 55	-62 40 52	  	   1.5	 3600	 2.400	 6.700	 -23.00	 -11.00	   18	K14	 -44.00	 18	      	  	1-1-p-* 	WEBDA	Lynga
 	NGC 5045         	13 14 10	-63 23 24	  	  45.2	 1500	 0.370	 7.110	  -3.00	  -2.86	 6205	K14	  -7.35	  3	      	  	        	WEBDA	Lynga
 	BH 144           	13 15 06	-65 55 00	  	   1.5	12000	 0.700	 8.900	  -4.73	  -3.36	   48	K14	  40.00	  3	-0.510	 2	        	WEBDA	Lynga
 	NGC 5043         	13 16 09	-60 04 24	r 	  14.0	  970	 0.150	 8.790	  -7.72	  -1.52	  607	K14	       	   	      	  	4-3-p-* 	WEBDA	Lynga
